id,suggestion_text,triggered_on,status
W072,Move 45 Kurta Set from Surat to Mumbai.,2025-06-28 02:01 AM,Pending
W073,Move 47 Notebook A5 from Mumbai to Delhi.,2025-06-25 03:12 PM,In Review
W074,Move 33 Rice 5kg from Surat to Surat.,2025-06-24 09:05 AM,In Review
W075,Move 69 Notebook A5 from Surat to Surat.,2025-06-24 09:04 AM,In Review
W076,Move 55 Handwash 250ml from Kolkata to Mumbai.,2025-06-25 09:59 PM,Pending
W077,Move 20 Rice 5kg from Mumbai to Jaipur.,2025-06-29 02:14 AM,In Review
W078,Move 38 Rice 5kg from Mumbai to Kolkata.,2025-06-23 11:00 PM,Pending
W079,Move 61 Kurta Set from Jaipur to Mumbai.,2025-06-25 06:07 PM,In Review
W080,Move 76 LED Bulb from Kolkata to Delhi.,2025-06-29 04:00 PM,Completed
W081,Move 84 Kurta Set from Mumbai to Surat.,2025-06-29 08:27 PM,Completed
W082,Move 68 LED Bulb from Kolkata to Delhi.,2025-06-27 05:02 PM,Completed
W083,Move 86 Notebook A5 from Surat to Jaipur.,2025-06-24 09:32 AM,In Review
W084,Move 47 Rice 5kg from Delhi to Mumbai.,2025-06-26 02:41 AM,Completed
W085,Move 91 LED Bulb from Kolkata to Delhi.,2025-06-24 12:41 PM,In Review
W086,Move 35 Handwash 250ml from Kolkata to Delhi.,2025-06-23 08:53 PM,Pending
W087,Move 23 Notebook A5 from Kolkata to Delhi.,2025-06-27 01:47 AM,In Review
W088,Move 74 Rice 5kg from Surat to Surat.,2025-06-26 11:31 PM,Pending
W089,Move 68 Notebook A5 from Mumbai to Jaipur.,2025-06-24 02:06 AM,Pending
W090,Move 76 Notebook A5 from Surat to Mumbai.,2025-06-28 09:20 PM,Pending
W091,Move 95 Notebook A5 from Delhi to Jaipur.,2025-06-24 03:06 PM,Completed
W092,Move 52 Handwash 250ml from Jaipur to Surat.,2025-06-26 09:58 PM,Completed
W093,Move 24 Notebook A5 from Kolkata to Kolkata.,2025-06-25 08:15 PM,Pending
W094,Move 52 Notebook A5 from Jaipur to Surat.,2025-06-26 11:52 AM,Pending
W095,Move 80 Handwash 250ml from Kolkata to Kolkata.,2025-06-30 05:41 AM,Pending
W096,Move 80 Handwash 250ml from Jaipur to Jaipur.,2025-06-29 03:17 PM,Completed
W097,Move 23 Handwash 250ml from Mumbai to Mumbai.,2025-06-28 05:13 PM,Pending
W098,Move 30 LED Bulb from Jaipur to Jaipur.,2025-06-30 01:59 AM,Completed
W099,Move 27 Notebook A5 from Jaipur to Surat.,2025-06-28 09:45 PM,Completed
W100,Move 44 Handwash 250ml from Jaipur to Delhi.,2025-06-28 01:39 AM,In Review
W101,Move 60 Rice 5kg from Surat to Delhi.,2025-06-25 07:44 AM,In Review
W102,Move 21 LED Bulb from Kolkata to Jaipur.,2025-06-28 01:58 PM,Pending
W103,Move 44 Handwash 250ml from Mumbai to Delhi.,2025-06-26 03:15 PM,Pending
W104,Move 42 LED Bulb from Jaipur to Delhi.,2025-06-30 01:06 AM,In Review
W105,Move 45 Handwash 250ml from Kolkata to Mumbai.,2025-06-23 06:56 PM,In Review
W106,Move 20 Notebook A5 from Delhi to Surat.,2025-06-28 07:47 PM,Completed
W107,Move 35 Notebook A5 from Kolkata to Surat.,2025-06-25 05:35 AM,In Review
W108,Move 31 Handwash 250ml from Kolkata to Jaipur.,2025-06-25 08:18 AM,Pending
W109,Move 31 Rice 5kg from Jaipur to Mumbai.,2025-06-30 01:44 AM,Completed
W110,Move 95 Kurta Set from Mumbai to Jaipur.,2025-06-29 06:00 AM,Pending
W111,Move 67 LED Bulb from Jaipur to Mumbai.,2025-06-30 08:54 AM,Completed
W112,Move 44 Rice 5kg from Delhi to Jaipur.,2025-06-28 06:02 AM,Completed
W113,Move 56 Rice 5kg from Delhi to Mumbai.,2025-06-30 12:58 PM,In Review
W114,Move 60 LED Bulb from Mumbai to Mumbai.,2025-06-26 05:50 AM,Completed
W115,Move 45 Rice 5kg from Delhi to Delhi.,2025-06-30 06:22 AM,In Review
W116,Move 76 Notebook A5 from Jaipur to Kolkata.,2025-06-30 06:56 AM,Completed
W117,Move 94 Notebook A5 from Delhi to Surat.,2025-06-24 01:42 PM,Completed
W118,Move 100 Rice 5kg from Jaipur to Surat.,2025-06-25 04:10 PM,Completed
W119,Move 39 Handwash 250ml from Surat to Mumbai.,2025-06-29 11:34 PM,In Review
W120,Move 75 Notebook A5 from Delhi to Mumbai.,2025-06-29 05:35 PM,Completed
W121,Move 84 Handwash 250ml from Delhi to Jaipur.,2025-06-29 06:54 AM,In Review
W122,Move 46 Notebook A5 from Mumbai to Kolkata.,2025-06-27 01:18 PM,Completed
W123,Move 24 Kurta Set from Surat to Mumbai.,2025-06-29 07:04 PM,Completed
W124,Move 37 LED Bulb from Surat to Delhi.,2025-06-30 06:03 AM,Completed
W125,Move 92 LED Bulb from Surat to Jaipur.,2025-06-28 12:50 AM,Completed
W126,Move 33 Notebook A5 from Jaipur to Mumbai.,2025-06-28 08:14 AM,Completed
W127,Move 80 Notebook A5 from Delhi to Jaipur.,2025-06-26 12:07 AM,Pending
W128,Move 65 Notebook A5 from Mumbai to Kolkata.,2025-06-25 02:56 PM,In Review
W129,Move 43 Kurta Set from Kolkata to Surat.,2025-06-26 07:10 PM,Completed
W130,Move 95 Handwash 250ml from Kolkata to Kolkata.,2025-06-23 09:00 PM,Completed
W131,Move 51 Notebook A5 from Delhi to Surat.,2025-06-30 07:24 AM,Completed
W132,Move 81 LED Bulb from Delhi to Jaipur.,2025-06-25 11:42 AM,Pending
W133,Move 84 Kurta Set from Kolkata to Kolkata.,2025-06-26 02:15 AM,Completed
W134,Move 93 LED Bulb from Surat to Jaipur.,2025-06-30 01:33 PM,Pending
W135,Move 85 Rice 5kg from Delhi to Surat.,2025-06-29 11:33 PM,In Review
W136,Move 87 Rice 5kg from Surat to Mumbai.,2025-06-25 04:26 PM,Pending
W137,Move 62 Kurta Set from Jaipur to Delhi.,2025-06-28 08:47 PM,Pending
W138,Move 64 LED Bulb from Kolkata to Mumbai.,2025-06-30 05:50 AM,Completed
W139,Move 20 Rice 5kg from Mumbai to Mumbai.,2025-06-26 11:31 AM,Completed
W140,Move 59 Kurta Set from Mumbai to Mumbai.,2025-06-27 05:46 AM,Pending
W141,Move 75 Kurta Set from Mumbai to Mumbai.,2025-06-28 04:19 AM,In Review
W142,Move 91 Notebook A5 from Jaipur to Kolkata.,2025-06-27 12:35 PM,Pending
W143,Move 64 Kurta Set from Kolkata to Surat.,2025-06-26 05:17 AM,In Review
W144,Move 70 Rice 5kg from Kolkata to Kolkata.,2025-06-27 11:33 PM,Completed
W145,Move 51 Kurta Set from Kolkata to Mumbai.,2025-06-24 11:17 AM,Completed
W146,Move 37 LED Bulb from Delhi to Delhi.,2025-06-25 09:53 PM,In Review
W147,Move 74 Handwash 250ml from Kolkata to Surat.,2025-06-28 04:18 PM,Pending
W148,Move 64 LED Bulb from Surat to Jaipur.,2025-06-26 05:56 PM,Pending
W149,Move 97 Rice 5kg from Mumbai to Delhi.,2025-06-26 07:33 AM,Completed
W150,Move 63 Handwash 250ml from Jaipur to Surat.,2025-06-27 12:54 PM,In Review
W151,Move 70 Kurta Set from Mumbai to Mumbai.,2025-06-30 02:35 AM,Completed
W152,Move 44 Kurta Set from Mumbai to Delhi.,2025-06-26 01:48 PM,Completed
W153,Move 31 Notebook A5 from Kolkata to Mumbai.,2025-06-24 02:26 AM,Completed
W154,Move 39 Notebook A5 from Delhi to Kolkata.,2025-06-24 09:02 PM,In Review
W155,Move 81 Kurta Set from Delhi to Kolkata.,2025-06-28 07:39 PM,Pending
W156,Move 40 LED Bulb from Surat to Jaipur.,2025-06-26 12:08 PM,Completed
W157,Move 30 Notebook A5 from Jaipur to Kolkata.,2025-06-29 01:30 AM,Pending
W158,Move 40 Notebook A5 from Mumbai to Surat.,2025-06-23 06:59 PM,In Review
W159,Move 69 LED Bulb from Jaipur to Kolkata.,2025-06-30 06:34 AM,In Review
W160,Move 71 LED Bulb from Jaipur to Delhi.,2025-06-27 06:40 PM,Completed
W161,Move 53 Kurta Set from Surat to Kolkata.,2025-06-24 12:50 PM,In Review
W162,Move 67 LED Bulb from Delhi to Surat.,2025-06-30 07:31 AM,Completed
W163,Move 34 Rice 5kg from Kolkata to Surat.,2025-06-28 02:13 PM,Completed
W164,Move 30 Rice 5kg from Jaipur to Delhi.,2025-06-27 04:53 PM,In Review
W165,Move 95 Notebook A5 from Mumbai to Surat.,2025-06-28 01:10 AM,In Review
W166,Move 78 LED Bulb from Jaipur to Kolkata.,2025-06-27 06:25 PM,Completed
W167,Move 25 Kurta Set from Kolkata to Kolkata.,2025-06-28 03:03 PM,Completed
W168,Move 26 Handwash 250ml from Delhi to Delhi.,2025-06-27 12:54 AM,Completed
W169,Move 63 Notebook A5 from Jaipur to Surat.,2025-06-26 02:13 PM,Completed
W170,Move 42 Notebook A5 from Delhi to Kolkata.,2025-06-29 01:04 AM,Pending
W171,Move 77 Notebook A5 from Delhi to Jaipur.,2025-06-25 12:49 AM,In Review
W172,Move 34 Notebook A5 from Jaipur to Surat.,2025-06-27 09:51 PM,In Review
W173,Move 70 Rice 5kg from Mumbai to Jaipur.,2025-06-28 10:19 PM,In Review
W174,Move 32 Rice 5kg from Mumbai to Kolkata.,2025-06-26 09:33 AM,Completed
W175,Move 55 Notebook A5 from Kolkata to Surat.,2025-06-30 03:03 PM,Pending
W176,Move 87 Handwash 250ml from Kolkata to Jaipur.,2025-06-23 09:38 PM,Pending
W177,Move 61 Notebook A5 from Jaipur to Mumbai.,2025-06-23 06:48 PM,In Review
W178,Move 32 LED Bulb from Surat to Jaipur.,2025-06-26 11:56 PM,Completed
W179,Move 58 LED Bulb from Kolkata to Jaipur.,2025-06-26 11:15 PM,Pending
W180,Move 52 Kurta Set from Kolkata to Jaipur.,2025-06-29 03:04 PM,Pending
W181,Move 93 Notebook A5 from Delhi to Surat.,2025-06-24 02:15 PM,In Review
W182,Move 89 Rice 5kg from Jaipur to Delhi.,2025-06-25 04:31 PM,In Review
W183,Move 80 Rice 5kg from Kolkata to Delhi.,2025-06-25 09:37 AM,In Review
W184,Move 43 Notebook A5 from Surat to Jaipur.,2025-06-24 08:43 AM,In Review
W185,Move 71 Rice 5kg from Delhi to Delhi.,2025-06-23 06:51 PM,Pending
W186,Move 72 Rice 5kg from Jaipur to Kolkata.,2025-06-26 01:18 AM,In Review
W187,Move 36 Notebook A5 from Delhi to Kolkata.,2025-06-24 03:27 AM,In Review
W188,Move 60 Kurta Set from Mumbai to Mumbai.,2025-06-24 03:20 AM,Pending
W189,Move 61 Rice 5kg from Jaipur to Surat.,2025-06-27 04:19 AM,Completed
W190,Move 97 LED Bulb from Surat to Kolkata.,2025-06-28 12:46 AM,In Review
W191,Move 96 Notebook A5 from Surat to Kolkata.,2025-06-26 11:13 PM,Completed
W192,Move 91 Kurta Set from Delhi to Delhi.,2025-06-26 02:10 AM,Completed
W193,Move 64 LED Bulb from Mumbai to Kolkata.,2025-06-28 02:45 PM,In Review
W194,Move 83 Rice 5kg from Surat to Mumbai.,2025-06-29 05:08 PM,In Review
W195,Move 69 Notebook A5 from Kolkata to Jaipur.,2025-06-24 06:55 AM,In Review
W196,Move 93 Kurta Set from Kolkata to Surat.,2025-06-26 08:04 PM,Completed
W197,Move 30 Rice 5kg from Surat to Delhi.,2025-06-26 10:05 PM,Completed
W198,Move 57 Notebook A5 from Kolkata to Kolkata.,2025-06-28 09:25 PM,Pending
W199,Move 39 Handwash 250ml from Surat to Mumbai.,2025-06-30 01:08 AM,In Review
W200,Move 65 Handwash 250ml from Kolkata to Kolkata.,2025-06-25 02:17 AM,Pending
W201,Move 56 Handwash 250ml from Kolkata to Mumbai.,2025-06-25 09:02 AM,Completed
W202,Move 88 Rice 5kg from Kolkata to Surat.,2025-06-28 11:59 AM,Pending
W203,Move 32 LED Bulb from Mumbai to Mumbai.,2025-06-24 01:00 PM,Pending
W204,Move 93 Notebook A5 from Mumbai to Mumbai.,2025-06-24 12:15 AM,In Review
W205,Move 71 Handwash 250ml from Kolkata to Delhi.,2025-06-28 05:54 AM,Pending
W206,Move 73 Handwash 250ml from Delhi to Delhi.,2025-06-26 10:20 PM,Completed
W207,Move 100 Kurta Set from Delhi to Surat.,2025-06-25 04:26 PM,In Review
W208,Move 88 LED Bulb from Mumbai to Kolkata.,2025-06-24 11:34 AM,Completed
W209,Move 79 Notebook A5 from Kolkata to Mumbai.,2025-06-29 09:51 AM,Pending
W210,Move 71 Notebook A5 from Jaipur to Surat.,2025-06-23 05:56 PM,Completed
W211,Move 79 Rice 5kg from Jaipur to Kolkata.,2025-06-25 10:46 AM,In Review
W212,Move 73 LED Bulb from Kolkata to Mumbai.,2025-06-28 04:01 PM,In Review
W213,Move 23 Handwash 250ml from Mumbai to Mumbai.,2025-06-26 06:26 PM,In Review
W214,Move 99 Handwash 250ml from Jaipur to Surat.,2025-06-26 09:20 PM,In Review
W215,Move 72 Kurta Set from Delhi to Surat.,2025-06-24 04:28 AM,Pending
W216,Move 41 Handwash 250ml from Kolkata to Jaipur.,2025-06-27 07:24 PM,Completed
W217,Move 22 Handwash 250ml from Kolkata to Surat.,2025-06-25 04:06 PM,In Review
W218,Move 44 Rice 5kg from Kolkata to Delhi.,2025-06-25 10:50 PM,In Review
W219,Move 50 Rice 5kg from Kolkata to Mumbai.,2025-06-24 09:21 PM,Completed
W220,Move 36 Notebook A5 from Jaipur to Jaipur.,2025-06-26 04:29 AM,Pending
W221,Move 93 LED Bulb from Kolkata to Mumbai.,2025-06-29 08:48 AM,In Review
W222,Move 97 LED Bulb from Mumbai to Mumbai.,2025-06-24 02:50 PM,Completed
W223,Move 84 Kurta Set from Surat to Delhi.,2025-06-28 11:30 PM,Pending
W224,Move 51 LED Bulb from Jaipur to Jaipur.,2025-06-27 01:39 PM,In Review
W225,Move 24 LED Bulb from Surat to Kolkata.,2025-06-25 09:09 AM,Completed
W226,Move 29 LED Bulb from Delhi to Surat.,2025-06-24 08:01 PM,Pending
W227,Move 97 Handwash 250ml from Jaipur to Kolkata.,2025-06-24 01:18 PM,Completed
W228,Move 27 Notebook A5 from Kolkata to Jaipur.,2025-06-29 05:59 PM,Completed
W229,Move 71 Handwash 250ml from Kolkata to Kolkata.,2025-06-25 05:12 AM,Pending
W230,Move 33 Rice 5kg from Delhi to Surat.,2025-06-27 02:37 AM,Pending
W231,Move 41 Notebook A5 from Kolkata to Delhi.,2025-06-26 06:07 AM,Pending
W232,Move 51 LED Bulb from Mumbai to Delhi.,2025-06-30 12:09 AM,Pending
W233,Move 62 Kurta Set from Kolkata to Kolkata.,2025-06-25 02:52 AM,Pending
W234,Move 53 Notebook A5 from Delhi to Kolkata.,2025-06-23 10:07 PM,Completed
W235,Move 77 Notebook A5 from Surat to Delhi.,2025-06-24 05:14 AM,In Review
W236,Move 24 Rice 5kg from Mumbai to Surat.,2025-06-30 04:39 PM,Completed
W237,Move 23 Rice 5kg from Delhi to Surat.,2025-06-25 12:08 PM,Completed
W238,Move 57 Notebook A5 from Mumbai to Surat.,2025-06-26 12:46 AM,In Review
W239,Move 59 LED Bulb from Kolkata to Delhi.,2025-06-28 05:32 PM,Pending
W240,Move 36 Rice 5kg from Surat to Delhi.,2025-06-25 06:59 AM,Completed
W241,Move 52 Rice 5kg from Jaipur to Mumbai.,2025-06-24 06:15 PM,In Review
W242,Move 58 Rice 5kg from Surat to Jaipur.,2025-06-25 10:39 PM,Completed
W243,Move 66 Handwash 250ml from Surat to Kolkata.,2025-06-27 10:52 PM,Completed
W244,Move 99 Rice 5kg from Delhi to Mumbai.,2025-06-24 01:54 AM,In Review
W245,Move 84 Notebook A5 from Surat to Delhi.,2025-06-23 11:27 PM,Completed
W246,Move 82 Rice 5kg from Surat to Kolkata.,2025-06-29 12:50 PM,Pending
W247,Move 81 LED Bulb from Jaipur to Jaipur.,2025-06-27 05:57 AM,Completed
W248,Move 48 Notebook A5 from Mumbai to Mumbai.,2025-06-24 10:49 PM,Pending
W249,Move 55 Handwash 250ml from Jaipur to Mumbai.,2025-06-26 12:01 PM,Completed
W250,Move 83 LED Bulb from Surat to Jaipur.,2025-06-24 12:50 AM,In Review
W251,Move 87 Rice 5kg from Mumbai to Delhi.,2025-06-28 12:42 AM,In Review
W252,Move 24 LED Bulb from Jaipur to Delhi.,2025-06-29 02:51 PM,In Review
W253,Move 28 Notebook A5 from Surat to Surat.,2025-06-26 06:48 PM,In Review
W254,Move 88 Kurta Set from Jaipur to Kolkata.,2025-06-28 11:16 PM,In Review
W255,Move 86 Rice 5kg from Mumbai to Delhi.,2025-06-29 06:10 PM,In Review
W256,Move 43 Rice 5kg from Mumbai to Kolkata.,2025-06-29 05:56 PM,Pending
W257,Move 25 Handwash 250ml from Delhi to Surat.,2025-06-30 06:49 AM,Completed
W258,Move 31 Rice 5kg from Jaipur to Mumbai.,2025-06-26 02:26 AM,In Review
W259,Move 58 Kurta Set from Mumbai to Mumbai.,2025-06-28 01:58 PM,Pending
W260,Move 94 Handwash 250ml from Kolkata to Kolkata.,2025-06-23 05:04 PM,Pending
W261,Move 88 Kurta Set from Delhi to Jaipur.,2025-06-26 11:31 PM,Pending
W262,Move 81 Kurta Set from Kolkata to Jaipur.,2025-06-25 07:23 PM,Completed
W263,Move 45 Kurta Set from Surat to Surat.,2025-06-28 11:36 AM,Pending
W264,Move 96 LED Bulb from Delhi to Surat.,2025-06-27 12:26 PM,Pending
W265,Move 94 LED Bulb from Jaipur to Kolkata.,2025-06-27 02:44 AM,In Review
W266,Move 44 Handwash 250ml from Surat to Kolkata.,2025-06-29 09:13 AM,Pending
W267,Move 52 LED Bulb from Surat to Delhi.,2025-06-29 04:56 PM,Completed
W268,Move 100 Rice 5kg from Delhi to Surat.,2025-06-25 03:53 PM,Completed
W269,Move 85 Notebook A5 from Delhi to Delhi.,2025-06-27 09:36 AM,In Review
W270,Move 51 Notebook A5 from Delhi to Surat.,2025-06-29 06:57 AM,In Review
W271,Move 59 LED Bulb from Jaipur to Mumbai.,2025-06-25 04:25 AM,Completed
W272,Move 20 Notebook A5 from Surat to Kolkata.,2025-06-24 06:04 AM,Completed
W273,Move 40 Rice 5kg from Jaipur to Kolkata.,2025-06-28 11:52 AM,In Review
W274,Move 58 Kurta Set from Kolkata to Delhi.,2025-06-24 03:53 AM,In Review
W275,Move 88 Rice 5kg from Mumbai to Jaipur.,2025-06-25 12:48 PM,Pending
W276,Move 47 Notebook A5 from Surat to Delhi.,2025-06-23 06:26 PM,Completed
W277,Move 87 LED Bulb from Jaipur to Delhi.,2025-06-30 06:52 AM,In Review
W278,Move 46 Handwash 250ml from Mumbai to Delhi.,2025-06-28 06:16 AM,Pending
W279,Move 44 LED Bulb from Mumbai to Mumbai.,2025-06-24 07:17 PM,In Review
W280,Move 40 Notebook A5 from Surat to Kolkata.,2025-06-26 12:19 PM,In Review
W281,Move 96 LED Bulb from Delhi to Mumbai.,2025-06-25 04:29 AM,Completed
W282,Move 80 Notebook A5 from Delhi to Mumbai.,2025-06-29 01:46 AM,Completed
W283,Move 62 Notebook A5 from Delhi to Kolkata.,2025-06-24 09:49 PM,Completed
W284,Move 74 Handwash 250ml from Kolkata to Kolkata.,2025-06-24 09:31 AM,Pending
W285,Move 71 Kurta Set from Kolkata to Delhi.,2025-06-24 04:46 PM,In Review
W286,Move 37 LED Bulb from Delhi to Jaipur.,2025-06-26 08:36 PM,In Review
W287,Move 45 Rice 5kg from Delhi to Delhi.,2025-06-27 01:26 PM,Completed
W288,Move 23 Notebook A5 from Kolkata to Kolkata.,2025-06-24 11:51 AM,Completed
W289,Move 91 Handwash 250ml from Mumbai to Mumbai.,2025-06-26 04:29 PM,In Review
W290,Move 84 LED Bulb from Delhi to Jaipur.,2025-06-29 01:07 PM,Pending
W291,Move 51 Rice 5kg from Delhi to Kolkata.,2025-06-27 05:34 AM,In Review
W292,Move 95 LED Bulb from Jaipur to Kolkata.,2025-06-26 03:45 PM,In Review
W293,Move 82 Rice 5kg from Delhi to Surat.,2025-06-25 12:36 AM,In Review
W294,Move 68 Kurta Set from Jaipur to Jaipur.,2025-06-28 08:21 AM,In Review
W295,Move 63 Notebook A5 from Surat to Delhi.,2025-06-30 12:05 PM,Completed
W296,Move 56 Kurta Set from Kolkata to Mumbai.,2025-06-29 12:00 PM,In Review
W297,Move 29 Notebook A5 from Kolkata to Mumbai.,2025-06-27 08:25 AM,Pending
W298,Move 95 Notebook A5 from Surat to Mumbai.,2025-06-24 07:28 AM,In Review
W299,Move 31 LED Bulb from Mumbai to Delhi.,2025-06-24 12:21 PM,In Review
W300,Move 89 Notebook A5 from Surat to Surat.,2025-06-24 08:15 AM,Completed
W301,Move 22 Rice 5kg from Jaipur to Delhi.,2025-06-24 04:40 AM,Completed
W302,Move 77 Rice 5kg from Mumbai to Delhi.,2025-06-29 04:14 AM,Completed
W303,Move 49 LED Bulb from Delhi to Delhi.,2025-06-27 10:32 AM,Pending
W304,Move 53 Notebook A5 from Surat to Jaipur.,2025-06-28 03:25 AM,Pending
W305,Move 35 LED Bulb from Kolkata to Kolkata.,2025-06-29 10:28 AM,Completed
